,breed,color,id,male,species,name
1,Domestic Shorthair Mix,Orange/White,A664235,,Cat,None
2,Domestic Shorthair Mix,Orange/White,A664236,,Cat,None
3,Domestic Shorthair Mix,Orange/White,A664237,,Cat,None
5,American Shorthair Mix,Black/White,A664238,,Cat,None
7,Domestic Shorthair Mix,Brown Tabby/White,A664256,1.0,Cat,Donnie
12,Domestic Shorthair Mix,Black/White,A664260,0.0,Cat,None
13,Domestic Shorthair Mix,Tortie,A664261,0.0,Cat,None
17,Domestic Shorthair Mix,Orange Tabby,A664262,1.0,Cat,None
18,Domestic Shorthair Mix,Orange Tabby,A664263,1.0,Cat,None
19,Domestic Shorthair Mix,Brown Tabby,A664264,1.0,Cat,Mason
20,Domestic Shorthair Mix,Brown Tabby,A664265,1.0,Cat,Dixon
22,Russian Blue Mix,Blue,A664268,0.0,Cat,Kochka
23,Domestic Shorthair Mix,Orange Tabby,A664271,0.0,Cat,None
36,Domestic Shorthair Mix,Brown Tabby,A664281,1.0,Cat,None
37,Domestic Longhair Mix,Brown Tabby,A664282,0.0,Cat,None
38,Domestic Shorthair Mix,Black/White,A664283,0.0,Cat,Juliet
39,Domestic Shorthair Mix,Black/White,A664284,1.0,Cat,None
40,Domestic Shorthair Mix,Black,A664285,1.0,Cat,None
43,Domestic Shorthair Mix,Blue/White,A664288,1.0,Cat,None
45,Domestic Shorthair Mix,Brown Tabby/White,A664289,0.0,Cat,None
46,Domestic Shorthair Mix,Brown Tabby/White,A664292,0.0,Cat,None
47,Domestic Medium Hair Mix,Black/White,A664293,1.0,Cat,Romeo
48,Domestic Medium Hair Mix,Black,A664294,0.0,Cat,Juliet
49,Domestic Medium Hair Mix,Brown Tabby/White,A664295,1.0,Cat,Paris
50,Domestic Medium Hair Mix,Brown Tabby,A664296,1.0,Cat,Mercutio
51,Domestic Medium Hair Mix,Orange Tabby/White,A664297,1.0,Cat,Tybalt
52,Domestic Medium Hair Mix,Orange Tabby,A664298,1.0,Cat,Benvolio
53,Domestic Shorthair Mix,Black/White,A664302,0.0,Cat,None
54,Domestic Shorthair Mix,Brown Tabby,A664303,1.0,Cat,None
55,Domestic Shorthair Mix,Orange Tabby,A664304,1.0,Cat,None
56,Domestic Shorthair Mix,Tortie,A664290,0.0,Cat,Taylor
57,Domestic Shorthair Mix,Black,A664291,1.0,Cat,Tyler
67,Domestic Medium Hair Mix,Orange Tabby/White,A664310,1.0,Cat,Chan
68,Domestic Shorthair Mix,Tortie,A664313,0.0,Cat,None
74,Domestic Shorthair Mix,Tortie,A664322,0.0,Cat,Eloise
79,Domestic Shorthair Mix,Black/White,A664329,1.0,Cat,None
80,Domestic Shorthair Mix,Black/White,A664335,0.0,Cat,Angie
81,Domestic Shorthair Mix,Black,A664338,1.0,Cat,J
82,Domestic Medium Hair,Black,A664339,1.0,Cat,Trey
83,Domestic Shorthair Mix,Black/White,A664340,0.0,Cat,Butter
84,Domestic Shorthair Mix,Calico,A664336,0.0,Cat,None
85,Domestic Shorthair Mix,Calico,A664337,0.0,Cat,None
86,Domestic Shorthair Mix,Brown Tabby,A614012,0.0,Cat,Lillian
89,Domestic Shorthair Mix,Orange Tabby,A664348,1.0,Cat,None
90,Domestic Shorthair Mix,White/Blue,A664344,1.0,Cat,None
91,Domestic Shorthair Mix,Calico,A664345,0.0,Cat,None
92,Domestic Shorthair Mix,Black Tabby/White,A664346,1.0,Cat,None
93,Domestic Shorthair Mix,Blue Tabby,A664347,1.0,Cat,None
109,Domestic Medium Hair Mix,White/Black,A664370,1.0,Cat,None
110,Domestic Shorthair Mix,Black,A664372,1.0,Cat,Halloween
111,Domestic Shorthair Mix,Torbie,A664373,0.0,Cat,October
119,Domestic Medium Hair Mix,Calico,A664380,0.0,Cat,None
123,Domestic Shorthair Mix,Blue Tabby,A664387,0.0,Cat,None
124,Domestic Shorthair Mix,Blue Tabby,A664388,1.0,Cat,None
125,Domestic Shorthair Mix,Brown Tabby,A664386,0.0,Cat,None
128,Domestic Medium Hair Mix,Orange Tabby,A664392,1.0,Cat,Moose
130,Domestic Shorthair Mix,Brown Tabby,A664395,1.0,Cat,Harry
131,Domestic Shorthair Mix,Brown Tabby,A664399,0.0,Cat,Beth
136,Domestic Shorthair Mix,Torbie,A664428,0.0,Cat,None
140,Domestic Shorthair Mix,Black/White,A664435,0.0,Cat,None
141,Domestic Shorthair Mix,Black/White,A664436,1.0,Cat,None
142,Domestic Shorthair Mix,Orange Tabby/White,A664437,1.0,Cat,None
145,Domestic Shorthair Mix,Tortie,A664441,0.0,Cat,Wyatts
146,Domestic Shorthair Mix,Black,A664442,1.0,Cat,Candy Corn
147,Domestic Shorthair Mix,Blue Tabby/White,A664443,1.0,Cat,Sebastian
148,Domestic Shorthair Mix,Blue Tabby/White,A664444,1.0,Cat,Tudor
149,Domestic Shorthair Mix,Tortie,A664440,0.0,Cat,Sunshine
151,Domestic Shorthair Mix,Orange Tabby,A664446,1.0,Cat,Riley
152,Domestic Shorthair Mix,Blue Tabby,A664448,1.0,Cat,None
155,Domestic Shorthair,Black/White,A663948,1.0,Cat,Pumpkin
162,Domestic Shorthair Mix,Brown Tabby/White,A664459,0.0,Cat,Miss Kitty
173,Domestic Shorthair Mix,Orange Tabby,A664473,1.0,Cat,Arthur
174,Domestic Shorthair Mix,Black/White,A664474,1.0,Cat,Charley
180,Domestic Shorthair Mix,Torbie,A664485,0.0,Cat,Peaches
181,Domestic Shorthair Mix,Orange Tabby,A664486,0.0,Cat,Taylor
182,Domestic Shorthair Mix,Orange Tabby,A664487,1.0,Cat,Chris Angel
191,Domestic Longhair Mix,Tortie,A664494,0.0,Cat,Flower
196,Domestic Shorthair Mix,Black/White,A664501,1.0,Cat,Mittens
197,Domestic Shorthair Mix,Black/White,A664502,1.0,Cat,None
198,Domestic Shorthair Mix,Black/White,A664503,1.0,Cat,None
205,Domestic Longhair Mix,Blue/White,A664510,1.0,Cat,Gizzmo
207,Domestic Shorthair Mix,Tortie,A664513,0.0,Cat,Sarah
208,Manx Mix,Brown Tabby/White,A664514,1.0,Cat,Zane
209,Manx Mix,Calico,A664515,0.0,Cat,Chloe
210,Domestic Shorthair Mix,Black,A664516,0.0,Cat,Sable
211,Domestic Shorthair Mix,Cream Tabby,A664517,1.0,Cat,Cheddar
217,Domestic Shorthair Mix,Brown Tabby/White,A664529,0.0,Cat,Magic
221,Domestic Longhair Mix,Black/White,A664536,0.0,Cat,Angel
226,Domestic Shorthair Mix,Orange Tabby/White,A664541,1.0,Cat,Finn
227,Domestic Shorthair Mix,Calico,A664542,0.0,Cat,Cake
228,Domestic Shorthair Mix,Brown Tabby,A664544,0.0,Cat,Clover
229,Domestic Shorthair Mix,Orange Tabby,A664545,1.0,Cat,Crimson
230,Domestic Shorthair Mix,Torbie,A664546,0.0,Cat,Joanna
231,Domestic Shorthair Mix,Torbie,A664547,0.0,Cat,Azula
232,Domestic Medium Hair Mix,Tortie,A664548,0.0,Cat,Katniss
233,Manx Mix,Tortie,A664549,0.0,Cat,None
239,Domestic Shorthair Mix,Black,A635201,0.0,Cat,Kiki
240,Domestic Shorthair Mix,Brown Tabby,A664561,1.0,Cat,None
246,Domestic Shorthair Mix,Brown Tabby,A664565,1.0,Cat,None
247,Domestic Shorthair Mix,White,A664566,1.0,Cat,None
249,Domestic Shorthair Mix,Brown Tabby,A664573,0.0,Cat,None
250,Domestic Shorthair Mix,Brown Tabby,A664574,1.0,Cat,None
251,Domestic Shorthair Mix,Orange Tabby,A664575,0.0,Cat,None
252,Domestic Shorthair Mix,Orange Tabby,A664576,1.0,Cat,None
253,Domestic Shorthair Mix,Black,A664577,1.0,Cat,None
254,Domestic Shorthair Mix,Torbie,A664571,0.0,Cat,None
256,Domestic Shorthair Mix,Black/White,A549989,1.0,Cat,Bert
262,Domestic Shorthair Mix,Orange Tabby,A664584,1.0,Cat,None
263,Domestic Shorthair Mix,Orange Tabby,A664585,0.0,Cat,None
264,Domestic Shorthair Mix,Brown Tabby,A664586,1.0,Cat,None
266,Domestic Shorthair Mix,Black/White,A664582,,Cat,None
267,Domestic Medium Hair Mix,Black/White,A664583,,Cat,None
283,Domestic Shorthair Mix,Orange Tabby/White,A664601,1.0,Cat,None
291,Domestic Shorthair Mix,Brown Tabby/White,A664609,0.0,Cat,None
294,Domestic Shorthair Mix,Black/White,A664612,0.0,Cat,None
300,Domestic Shorthair Mix,White/Black,A637539,0.0,Cat,Puddles
302,Domestic Shorthair Mix,Calico,A664626,0.0,Cat,None
306,Domestic Medium Hair Mix,Torbie,A664628,0.0,Cat,None
307,Domestic Medium Hair Mix,Orange Tabby,A664629,1.0,Cat,None
309,Domestic Medium Hair Mix,Black,A641222,1.0,Cat,Bobby
314,Domestic Longhair Mix,Black Smoke,A664638,0.0,Cat,Minerva
315,Domestic Shorthair Mix,Black,A664643,1.0,Cat,None
316,Domestic Shorthair Mix,Black,A664644,1.0,Cat,None
317,Domestic Shorthair Mix,Tortie,A664641,0.0,Cat,None
325,Domestic Shorthair Mix,Brown Tabby/White,A664658,1.0,Cat,Trey
327,Domestic Shorthair Mix,Black/White,A664660,0.0,Cat,Daisy
328,Domestic Shorthair Mix,Black/White,A664661,0.0,Cat,Lily
332,Domestic Shorthair Mix,Black,A664665,0.0,Cat,Avalon
340,Domestic Shorthair Mix,Black/White,A664677,,Cat,None
342,Domestic Shorthair Mix,Black,A664683,1.0,Cat,None
347,Russian Blue Mix,Blue,A664692,1.0,Cat,Max
350,Domestic Shorthair Mix,Brown Tabby/White,A664708,0.0,Cat,None
351,Himalayan Mix,Tortie Point,A664711,0.0,Cat,None
364,Domestic Shorthair Mix,Black,A664722,1.0,Cat,Blackberry
367,Domestic Shorthair Mix,Calico,A664723,0.0,Cat,None
371,Domestic Shorthair Mix,Black,A664726,1.0,Cat,None
376,Domestic Shorthair Mix,Blue Tabby/White,A664732,0.0,Cat,Momma
377,Domestic Shorthair Mix,Brown Tabby/White,A664733,0.0,Cat,None
378,Domestic Shorthair Mix,Brown Tabby/White,A664734,1.0,Cat,None
379,Domestic Shorthair Mix,Blue Tabby/White,A664735,0.0,Cat,None
380,Domestic Shorthair Mix,Blue Tabby/White,A664736,1.0,Cat,None
383,Domestic Shorthair Mix,Black Tabby,A664740,0.0,Cat,None
393,Domestic Shorthair Mix,Orange Tabby,A664748,1.0,Cat,Stubbs
394,Domestic Shorthair Mix,Black,A664749,1.0,Cat,Andante
395,Domestic Shorthair Mix,Blue,A664750,0.0,Cat,Harmony
396,Domestic Shorthair Mix,Tortie/White,A664751,0.0,Cat,Adelaide
397,Domestic Shorthair Mix,Tortie,A664752,0.0,Cat,Melody
398,Domestic Shorthair Mix,Brown Tabby,A664753,0.0,Cat,None
399,Domestic Shorthair Mix,Black,A664754,1.0,Cat,None
402,Snowshoe Mix,Seal Point,A664758,1.0,Cat,Jack
403,Domestic Shorthair Mix,Brown Tabby/White,A664760,1.0,Cat,None
404,Domestic Shorthair Mix,Brown Tabby/White,A664761,0.0,Cat,None
