,color,id,male,species,name,breeds,mix,groups,FSS,Working Group,Terrier Group,Herding Group,Sporting Group,Hound Group,Non-Sporting Group,Toy Group,Bully Breed,Hound
0,White/Tan,A521520,0.0,Dog,Nina,"['Border Terrier', 'Border Collie']",True,"['Herding Group', 'Terrier Group']",0,0,1,1,0,0,0,0,0,0
1,Blue/White,A664233,0.0,Dog,Stevie,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
2,Black/White,A664234,1.0,Dog,None,['Border Collie'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3,Black,A664257,0.0,Dog,Pippin,['Podengo Pequeno'],False,['Hound'],0,0,0,0,0,0,0,0,0,1
4,Buff,A664266,0.0,Dog,None,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
5,Silver,A664258,1.0,Dog,Sylvio,['Weimaraner'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
6,White/Tricolor,A648744,0.0,Dog,Claire,['Anatol Shepherd'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
7,Tan,A651630,0.0,Dog,Heather,"['Labrador Retriever', 'Chinese Sharpei']",True,"['Non-Sporting Group', 'Sporting Group']",0,0,0,0,1,0,1,0,0,0
8,Black,A664259,0.0,Dog,Petunia,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
9,White,A664269,1.0,Dog,Bismark,['Great Pyrenees'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
10,White/Black,A664267,0.0,Dog,Asti,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
11,Brown,A664272,0.0,Dog,Grace,['Cairn Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
12,Brown,A664273,0.0,Dog,Buffy,"['Dachshund', 'Chihuahua Shorthair']",True,"['Hound Group', 'Toy Group']",0,0,0,0,0,1,0,1,0,1
13,Tan,A639030,0.0,Dog,Cate,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
14,Black/Brown,A664253,1.0,Dog,Moose,"['Black', 'Tan Hound']",True,['Working Group'],0,1,0,0,0,0,0,0,0,0
15,Buff,A664274,0.0,Dog,Estrella,['Siberian Husky'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
16,Red,A658012,1.0,Dog,Lucio,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
17,Tricolor,A664275,1.0,Dog,Mcdermot,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
18,White/Brown,A664277,0.0,Dog,Pogo,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
19,Brown,A636021,0.0,Dog,Sera,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
20,Apricot,A664280,0.0,Dog,Coco,['Miniature Poodle'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
21,Gray,A660220,0.0,Dog,Jade,"['Yorkshire Terrier', 'Miniature Poodle']",True,"['Non-Sporting Group', 'Toy Group']",0,0,0,0,1,0,1,1,0,0
22,Tan,A634503,0.0,Dog,Otter,['Norfolk Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
23,White/Brown,A664286,0.0,Dog,Sugar,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
24,Brown/White,A664287,0.0,Dog,Daisy,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
25,Brown Brindle,A659642,1.0,Dog,Trevor,"['Dachshund', 'Basset Hound']",True,['Hound Group'],0,0,0,0,0,1,0,0,0,1
26,White/Tricolor,A664299,1.0,Dog,Doc,"['Anatol Shepherd', 'Great Pyrenees']",True,['Working Group'],0,1,0,0,0,0,0,0,0,0
27,White/Tricolor,A664300,1.0,Dog,Happy,"['Anatol Shepherd', 'Great Pyrenees']",True,['Working Group'],0,1,0,0,0,0,0,0,0,0
28,White/Tan,A664301,0.0,Dog,Neville,"['Anatol Shepherd', 'Great Pyrenees']",True,['Working Group'],0,1,0,0,0,0,0,0,0,0
29,White,A664305,0.0,Dog,Annabelle,"['Anatol Shepherd', 'Labrador Retriever']",True,"['Sporting Group', 'Working Group']",0,1,0,0,1,0,0,0,0,0
30,White/Tricolor,A664306,0.0,Dog,Tiny,['Australian Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
31,Cream,A664307,0.0,Dog,Sneezy,"['Anatol Shepherd', 'Labrador Retriever']",True,"['Sporting Group', 'Working Group']",0,1,0,0,1,0,0,0,0,0
32,Brown/Black,A664308,1.0,Dog,Bruce,['Australian Cattle Dog'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
33,Tan,A664309,1.0,Dog,Romo,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
34,Brown/White,A646850,0.0,Dog,Lizzy,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
35,Tan/White,A659035,0.0,Dog,Zoe,['Belgian Malinois'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
