,id,name,outcome_type,outcome_detail,species,age,breed,color,datetime,fixed,male
0,A689146,None,Euthanasia,Rabies Risk,Cat,0.0821917808219,Domestic Shorthair Mix,Tortie/Calico,2014-10-01 07:54:00,0.0,0.0
1,A689208,None,Euthanasia,Suffering,Cat,2.0,Domestic Shorthair Mix,White/Brown Tabby,2014-10-01 07:56:00,1.0,1.0
2,A689225,None,Transfer,SCRP,Cat,6.0,Domestic Medium Hair Mix,Brown Tabby,2014-10-01 09:00:00,0.0,0.0
3,A689202,None,Euthanasia,Rabies Risk,Other,0.493150684932,Bat Mix,Gray,2014-10-01 11:30:00,,
4,A684326,Kelvi,Adoption,None,Dog,5.0,Border Collie Mix,Black/White,2014-10-01 11:37:00,1.0,0.0
5,A574935,Blue,Transfer,Partner,Dog,10.0,Australian Cattle Dog Mix,Blue Merle/Black,2014-10-01 12:11:00,1.0,1.0
6,A575129,Brandi,Transfer,Partner,Dog,10.0,Australian Cattle Dog Mix,Red Merle,2014-10-01 12:11:00,1.0,0.0
7,A688991,Shades,Transfer,Partner,Dog,3.0,Shih Tzu,Sable/White,2014-10-01 12:25:00,0.0,1.0
8,A689108,Andromeda,Adoption,None,Cat,5.0,Himalayan Mix,Flame Point,2014-10-01 12:30:00,1.0,0.0
9,A689241,Lady,Return to Owner,None,Dog,2.0,Labrador Retriever/Basset Hound,Black/White,2014-10-01 12:53:00,1.0,0.0
10,A688094,Savvy,Transfer,Partner,Dog,0.575342465753,Black Mouth Cur Mix,Brown/White,2014-10-01 12:57:00,0.0,0.0
11,A688918,Storm,Adoption,None,Cat,0.0821917808219,Domestic Shorthair Mix,White/Brown Tabby,2014-10-01 13:27:00,0.0,0.0
12,A689038,Trouble,Transfer,Partner,Cat,3.0,Domestic Shorthair Mix,Orange Tabby,2014-10-01 14:01:00,0.0,1.0
13,A684772,Peanut,Transfer,Partner,Cat,9.0,Domestic Shorthair Mix,Black,2014-10-01 14:03:00,1.0,1.0
14,A687060,Pablo,Adoption,None,Dog,1.0,Pit Bull Mix,Blue/White,2014-10-01 14:24:00,1.0,1.0
15,A688144,Tarzan,Adoption,None,Dog,1.0,Labrador Retriever Mix,Black/White,2014-10-01 14:26:00,1.0,1.0
16,A651258,Ethan,Return to Owner,None,Cat,1.0,Domestic Shorthair Mix,Orange Tabby,2014-10-01 15:03:00,1.0,1.0
17,A688905,None,Transfer,Partner,Dog,2.0,Belgian Malinois/German Shepherd,Brown/Black,2014-10-01 15:04:00,0.0,0.0
18,A688996,Gibson,Transfer,Partner,Dog,2.0,Golden Retriever Mix,Red,2014-10-01 15:06:00,1.0,1.0
19,A688232,Sally,Transfer,Partner,Dog,5.0,Labrador Retriever Mix,White,2014-10-01 15:08:00,1.0,0.0
20,A689227,None,Transfer,Partner,Cat,0.0383561643836,Domestic Shorthair Mix,Orange Tabby,2014-10-01 15:12:00,0.0,0.0
21,A689258,None,Transfer,Partner,Cat,0.0575342465753,Domestic Shorthair Mix,Black,2014-10-01 15:12:00,0.0,0.0
22,A689259,None,Transfer,Partner,Cat,0.0575342465753,Domestic Shorthair Mix,Brown Tabby,2014-10-01 15:13:00,0.0,1.0
23,A689268,None,Transfer,Partner,Cat,0.0575342465753,Domestic Shorthair Mix,Black/White,2014-10-01 15:19:00,0.0,1.0
24,A689267,None,Transfer,Partner,Cat,0.0575342465753,Domestic Shorthair Mix,Black/White,2014-10-01 15:23:00,0.0,1.0
25,A687211,Magnolia,Adoption,None,Cat,0.0821917808219,Domestic Medium Hair Mix,Black,2014-10-01 15:26:00,1.0,0.0
26,A689054,Chappie,Transfer,Partner,Cat,0.575342465753,Domestic Shorthair Mix,White/Black,2014-10-01 15:48:00,1.0,0.0
27,A683921,None,Transfer,Partner,Cat,1.0,Domestic Shorthair Mix,Black/White,2014-10-01 15:49:00,1.0,1.0
28,A688774,Walter,Transfer,Partner,Cat,0.821917808219,Domestic Longhair Mix,Blue/White,2014-10-01 15:49:00,1.0,1.0
29,A688523,Basil,Transfer,Partner,Cat,1.0,Domestic Shorthair Mix,Calico,2014-10-01 15:50:00,1.0,0.0
