,0
0,Border Terrier
1,Border Collie
2,Pit Bull
3,Podengo Pequeno
4,Chihuahua Shorthair
5,Weimaraner
6,Anatol Shepherd
7,Labrador Retriever
8,Chinese Sharpei
9,Great Pyrenees
10,Cairn Terrier
11,Dachshund
12,German Shepherd
13,Black
14,Tan Hound
15,Siberian Husky
16,Miniature Poodle
17,Yorkshire Terrier
18,Norfolk Terrier
19,Basset Hound
20,Australian Shepherd
21,Australian Cattle Dog
22,Belgian Malinois
23,Jack Russell Terrier
24,Chow Chow
25,Doberman Pinsch
26,Japanese Chin
27,Staffordshire
28,Welsh Terrier
29,Shetland Sheepdog
30,Italian Greyhound
31,Vizsla
32,Alaskan Husky
33,Rottweiler
34,American Staffordshire Terrier
35,American Bulldog
36,Great Dane
37,Harrier
38,Flat Coat Retriever
39,Mexican Hairless
40,Rat Terrier
41,Dachshund Wirehair
42,Leonberger
43,Dachshund Longhair
44,Chesa Bay Retr
45,Mastiff
46,Dutch Shepherd
47,Chihuahua Longhair
48,Greyhound
49,Boxer
50,Standard Poodle
51,Bulldog
52,Miniature Pinscher
53,Carolina Dog
54,Toy Poodle
55,Pointer
56,Boston Terrier
57,Queensland Heeler
58,Rhod Ridgeback
59,Miniature Schnauzer
60,Beagle
61,Kuvasz
62,Shih Tzu
63,Havanese
64,Pekingese
65,Catahoula
66,Maltese
67,Australian Kelpie
68,Treeing Walker Coonhound
69,Bull Terrier
70,American Foxhound
71,Cavalier Span
72,Brittany
73,Parson Russell Terrier
74,Blue Lacy
75,Canaan Dog
76,Golden Retriever
77,Collie Rough
78,Plott Hound
79,Redbone Hound
80,Cocker Spaniel
81,English Springer Spaniel
82,Manchester Terrier
83,English Bulldog
84,Black Mouth Cur
85,Basenji
86,Pembroke Welsh Corgi
87,Pug
88,English Pointer
89,Skye Terrier
90,Cardigan Welsh Corgi
91,Airedale Terrier
92,Finnish Spitz
93,English Setter
94,Affenpinscher
95,Newfoundland
96,Collie Smooth
97,Beauceron
98,Port Water Dog
99,Nova Scotia Duck Tolling Retriever
100,Bull Terrier Miniature
101,Lhasa Apso
102,Norwich Terrier
103,Whippet
104,Old English Sheepdog
105,Shiba Inu
106,Bullmastiff
107,English Coonhound
108,Ibizan Hound
109,Scottish Terrier
110,American Pit Bull Terrier
111,English Foxhound
112,Silky Terrier
113,Keeshond
114,Bloodhound
115,Pomeranian
116,Cane Corso
117,Soft Coated Wheaten Terrier
118,Schipperke
119,Pharaoh Hound
120,American Eskimo
121,Papillon
122,German Pinscher
123,Eng Toy Spaniel
124,Wire Hair Fox Terrier
125,Standard Schnauzer
126,West Highland
127,Akita
128,Bruss Griffon
129,Pbgv
130,Entlebucher
131,German Shorthair Pointer
132,Picardy Sheepdog
133,Bearded Collie
134,Bichon Frise
135,French Bulldog
136,St. Bernard Rough Coat
137,Alaskan Malamute
138,Irish Terrier
139,Irish Wolfhound
140,English Cocker Spaniel
141,Landseer
142,Swedish Vallhund
143,Bluetick Hound
144,Afghan Hound
145,St. Bernard Smooth Coat
146,Dogue De Bordeaux
147,Tibetan Terrier
148,Boerboel
149,Coton De Tulear
150,Dogo Argentino
151,German Wirehaired Pointer
152,Belgian Sheepdog
153,Bernese Mountain Dog
154,Cirneco
155,Dalmatian
156,Feist
157,Old English Bulldog
158,Toy Fox Terrier
159,Smooth Fox Terrier
160,Welsh Springer Spaniel
161,Boykin Span
162,Chinese Crested
163,Spinone Italiano
164,Irish Setter
165,Jindo
166,Yorkshire
167,Samoyed
168,Presa Canario
169,Wirehaired Pointing Griffon
170,Australian Terrier
171,Greater Swiss Mountain Dog
172,Gordon Setter
173,Glen Of Imaal
174,Saluki
175,Neapolitan Mastiff
176,Tibetan Spaniel
177,Belgian Tervuren
178,Spanish Water Dog
179,Field Spaniel
180,Patterdale Terr
181,Treeing Cur
182,Dandie Dinmont
183,Schnauzer Giant
184,Otterhound
185,Swiss Hound
186,English Shepherd
187,Sealyham Terr
188,Bedlington Terr
189,Borzoi
190,Unknown
191,Lowchen
192,Spanish Mastiff
193,Dachshund Stan
194,Hovawart
