,age_in,age_out,condition_in,fixed_in,fixed_out,id,intake_time,intake_type,outcome_detail,outcome_time,outcome_type,species,fixed_in_care,time_in_care
2233,2.0,2.0,Other,0.0,0.0,A657066,2013-11-12 17:23:00,Public Assist,Partner,2013-12-17 00:00:00,Transfer,Other,0.0,34.2756944444
2477,0.164383561644,0.164383561644,Normal,,,A663372,2013-10-19 11:16:00,Owner Surrender,Partner,2013-10-23 17:02:00,Transfer,Other,,4.24027777778
2478,0.164383561644,0.164383561644,Normal,,,A663373,2013-10-19 11:16:00,Owner Surrender,Partner,2013-10-23 17:02:00,Transfer,Other,,4.24027777778
2479,0.164383561644,0.164383561644,Normal,,,A663374,2013-10-19 11:16:00,Owner Surrender,Partner,2013-10-23 17:02:00,Transfer,Other,,4.24027777778
2480,0.164383561644,0.164383561644,Normal,,,A663375,2013-10-19 11:16:00,Owner Surrender,Partner,2013-10-23 17:02:00,Transfer,Other,,4.24027777778
2481,0.164383561644,0.164383561644,Normal,,,A663376,2013-10-19 11:16:00,Owner Surrender,Partner,2013-10-23 17:02:00,Transfer,Other,,4.24027777778
2581,0.328767123288,0.328767123288,Sick,,,A664328,2013-10-02 08:04:00,Wildlife,Rabies Risk,2013-10-02 09:40:00,Euthanasia,Other,,0.0666666666667
2615,1.0,1.0,Normal,0.0,0.0,A664374,2013-10-02 15:35:00,Stray,Partner,2014-02-12 16:33:00,Transfer,Other,0.0,133.040277778
2622,0.493150684932,0.493150684932,Injured,,,A664384,2013-10-02 18:09:00,Wildlife,Rabies Risk,2013-10-02 18:36:00,Euthanasia,Other,,0.01875
2628,2.0,2.0,Normal,0.0,0.0,A664394,2013-10-02 19:27:00,Stray,Partner,2013-10-22 00:00:00,Transfer,Other,0.0,19.1895833333
2637,0.739726027397,0.739726027397,Normal,,,A664430,2013-10-03 11:29:00,Wildlife,Rabies Risk,2013-10-03 11:52:00,Euthanasia,Other,,0.0159722222222
2643,2.0,2.0,Injured,,,A664438,2013-10-03 12:14:00,Wildlife,Rabies Risk,2013-10-03 12:33:00,Euthanasia,Other,,0.0131944444444
2719,0.0,0.0027397260274,Normal,,,A664532,2013-10-04 22:05:00,Wildlife,Rabies Risk,2013-10-05 10:05:00,Euthanasia,Other,,0.5
2747,1.0,1.0,Normal,0.0,0.0,A664560,2013-10-05 12:38:00,Owner Surrender,Partner,2014-02-19 17:17:00,Transfer,Other,0.0,137.19375
2765,2.0,2.0,Sick,,,A664579,2013-10-05 14:55:00,Wildlife,Rabies Risk,2013-10-05 16:05:00,Euthanasia,Other,,0.0486111111111
2805,0.0767123287671,0.0767123287671,Sick,,,A664633,2013-10-06 17:00:00,Wildlife,None,2013-10-06 17:41:00,Euthanasia,Other,,0.0284722222222
2835,3.0,3.0,Normal,,,A664682,2013-10-07 14:25:00,Wildlife,Rabies Risk,2013-10-07 14:31:00,Euthanasia,Other,,0.00416666666667
2837,1.0,1.0,Injured,,,A664684,2013-10-07 15:11:00,Wildlife,Medical,2013-10-07 15:33:00,Euthanasia,Other,,0.0152777777778
2838,0.493150684932,0.493150684932,Sick,,,A664685,2013-10-07 15:13:00,Wildlife,Rabies Risk,2013-10-07 15:33:00,Euthanasia,Other,,0.0138888888889
2842,0.0767123287671,0.0767123287671,Normal,,,A664689,2013-10-08 00:45:00,Wildlife,Rabies Risk,2013-10-08 07:49:00,Euthanasia,Other,,0.294444444444
2858,1.0,1.0,Normal,0.0,0.0,A664717,2013-10-08 10:56:00,Public Assist,Rabies Risk,2013-10-08 11:48:00,Euthanasia,Other,0.0,0.0361111111111
2864,1.0,1.0,Normal,0.0,0.0,A664724,2013-10-08 12:08:00,Owner Surrender,Partner,2013-10-10 12:02:00,Transfer,Other,0.0,1.99583333333
2877,1.0,1.0,Normal,,,A664741,2013-10-08 15:32:00,Wildlife,Rabies Risk,2013-10-09 08:56:00,Euthanasia,Other,,0.725
2911,0.493150684932,0.493150684932,Sick,,,A664786,2013-10-08 23:10:00,Wildlife,None,2013-10-10 18:45:00,Disposal,Other,,1.81597222222
2939,1.0,1.0,Sick,,,A664830,2013-10-09 15:34:00,Wildlife,Suffering,2013-10-09 15:59:00,Euthanasia,Other,,0.0173611111111
2956,0.493150684932,0.493150684932,Sick,,,A664853,2013-10-10 02:43:00,Wildlife,None,2013-10-10 09:50:00,Disposal,Other,,0.296527777778
2957,0.493150684932,0.493150684932,Sick,,,A664854,2013-10-10 02:43:00,Wildlife,None,2013-10-10 09:49:00,Disposal,Other,,0.295833333333
2966,2.0,2.0,Normal,,,A664877,2013-10-10 12:13:00,Wildlife,Rabies Risk,2013-10-10 12:23:00,Euthanasia,Other,,0.00694444444444
2982,0.493150684932,0.493150684932,Normal,,,A664897,2013-10-10 15:34:00,Wildlife,Rabies Risk,2013-10-10 16:01:00,Euthanasia,Other,,0.01875
2983,0.493150684932,0.493150684932,Normal,,,A664898,2013-10-10 15:43:00,Wildlife,Rabies Risk,2013-10-10 16:04:00,Euthanasia,Other,,0.0145833333333
2996,2.0,2.0,Normal,,,A664923,2013-10-10 21:18:00,Wildlife,None,2013-10-11 10:09:00,Disposal,Other,,0.535416666667
3002,0.493150684932,0.493150684932,Normal,,,A664929,2013-10-11 08:58:00,Wildlife,Rabies Risk,2013-10-11 10:43:00,Euthanasia,Other,,0.0729166666667
3011,1.0,1.0,Normal,0.0,0.0,A664937,2013-10-11 11:38:00,Stray,Partner,2013-10-16 16:44:00,Transfer,Other,0.0,5.2125
3012,1.0,1.0,Normal,0.0,0.0,A664938,2013-10-11 11:38:00,Stray,Partner,2013-10-16 16:44:00,Transfer,Other,0.0,5.2125
3093,0.493150684932,0.493150684932,Sick,,,A665038,2013-10-12 16:49:00,Wildlife,Rabies Risk,2013-10-12 17:10:00,Euthanasia,Other,,0.0145833333333
3121,3.0,3.0,Normal,,,A665089,2013-10-13 15:02:00,Wildlife,Rabies Risk,2013-10-13 15:39:00,Euthanasia,Other,,0.0256944444444
3122,3.0,3.0,Normal,,,A665090,2013-10-13 15:09:00,Wildlife,Rabies Risk,2013-10-13 15:39:00,Euthanasia,Other,,0.0208333333333
3137,1.0,1.0,Normal,,,A665105,2013-10-13 18:05:00,Wildlife,Rabies Risk,2013-10-13 19:00:00,Euthanasia,Other,,0.0381944444444
3138,2.0,2.0,Normal,,,A665106,2013-10-13 18:07:00,Wildlife,Rabies Risk,2013-10-13 18:59:00,Euthanasia,Other,,0.0361111111111
3139,2.0,2.0,Normal,,,A665107,2013-10-13 18:14:00,Wildlife,Rabies Risk,2013-10-13 19:00:00,Euthanasia,Other,,0.0319444444444
3140,2.0,2.0,Normal,,,A665108,2013-10-13 18:28:00,Wildlife,Rabies Risk,2013-10-13 18:58:00,Euthanasia,Other,,0.0208333333333
3142,6.0,6.0,Normal,,,A665121,2013-10-13 23:29:00,Wildlife,Rabies Risk,2013-10-14 08:00:00,Euthanasia,Other,,0.354861111111
3179,1.0,1.0,Normal,,,A665158,2013-10-14 14:29:00,Wildlife,Rabies Risk,2013-10-14 14:37:00,Euthanasia,Other,,0.00555555555556
3184,0.493150684932,0.493150684932,Normal,,,A665166,2013-10-14 15:44:00,Wildlife,Rabies Risk,2013-10-14 16:13:00,Euthanasia,Other,,0.0201388888889
3185,0.493150684932,0.493150684932,Aged,,,A665169,2013-10-14 15:54:00,Wildlife,Rabies Risk,2013-10-14 16:13:00,Euthanasia,Other,,0.0131944444444
3201,0.0767123287671,0.0767123287671,Normal,,,A665188,2013-10-14 22:25:00,Wildlife,Rabies Risk,2013-10-15 08:16:00,Euthanasia,Other,,0.410416666667
3255,1.0,1.0,Sick,,,A665247,2013-10-15 16:06:00,Wildlife,Suffering,2013-10-15 16:09:00,Euthanasia,Other,,0.00208333333333
