,condition_in,intake_type,outcome_detail,outcome_type,breed
0,Other,Public Assist,Partner,Transfer,Quarter Horse Mix
1,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
2,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
3,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
4,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
5,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
6,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
7,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
8,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
9,Normal,Stray,Partner,Transfer,Pig Mix
10,Normal,Wildlife,Rabies Risk,Euthanasia,Skunk
11,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
12,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
13,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
14,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
15,Sick,Wildlife,None,Euthanasia,Raccoon
16,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
17,Injured,Wildlife,Medical,Euthanasia,Opossum Mix
18,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
19,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
20,Normal,Public Assist,Rabies Risk,Euthanasia,Raccoon Mix
21,Normal,Owner Surrender,Partner,Transfer,Ferret
22,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
23,Sick,Wildlife,None,Disposal,Bat Mix
24,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
25,Sick,Wildlife,None,Disposal,Bat Mix
26,Sick,Wildlife,None,Disposal,Bat Mix
27,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
28,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
29,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
30,Normal,Wildlife,None,Disposal,Bat Mix
31,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
32,Normal,Stray,Partner,Transfer,Californian Mix
33,Normal,Stray,Partner,Transfer,Californian Mix
34,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
35,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
36,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
37,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
