,breed,color,id,male,species,name
78,Bat Mix,Brown,A664328,,Other,None
112,Rabbit Sh Mix,White/Brown,A664374,1.0,Other,Birch
122,Raccoon Mix,Brown,A664384,,Other,None
129,Pig Mix,Black,A664394,0.0,Other,None
138,Skunk,Black/White,A664430,,Other,None
143,Raccoon Mix,Black/White,A664438,,Other,None
219,Bat Mix,Brown/Brown,A664532,,Other,None
238,Rabbit Sh Mix,White,A664560,1.0,Other,Dante
265,Raccoon Mix,Black/White,A664579,,Other,None
318,Raccoon,Brown/Black,A664633,,Other,None
341,Bat Mix,Brown,A664682,,Other,None
343,Opossum Mix,Gray/Black,A664684,,Other,None
344,Bat Mix,Gray,A664685,,Other,None
354,Bat,Brown/Black,A664689,,Other,None
358,Raccoon Mix,Black/Brown,A664717,1.0,Other,None
365,Ferret,Gray/White,A664724,1.0,Other,Banjo
387,Bat Mix,Brown,A664741,,Other,None
419,Bat Mix,Brown,A664786,,Other,None
445,Raccoon Mix,Brown/Black,A664830,,Other,None
461,Bat Mix,Brown,A664853,,Other,None
462,Bat Mix,Brown,A664854,,Other,None
474,Bat Mix,Brown,A664877,,Other,None
493,Bat Mix,Gray/Brown,A664897,,Other,None
494,Bat Mix,Gray,A664898,,Other,None
504,Bat Mix,Brown,A664923,,Other,None
510,Bat Mix,Brown,A664929,,Other,None
519,Californian Mix,Lilac Point,A664937,1.0,Other,None
520,Californian Mix,Seal Point,A664938,1.0,Other,None
608,Bat Mix,Brown,A665038,,Other,None
646,Bat Mix,Brown,A665089,,Other,None
647,Bat Mix,Black,A665090,,Other,None
661,Bat Mix,Brown,A665105,,Other,None
662,Bat,Brown,A665106,,Other,None
663,Bat,Brown,A665107,,Other,None
664,Bat,Brown,A665108,,Other,None
666,Bat Mix,Gray,A665121,,Other,None
704,Bat Mix,Brown,A665158,,Other,None
711,Bat Mix,Gray,A665166,,Other,None
712,Bat Mix,Gray,A665169,,Other,None
722,Bat,Brown/Black,A665188,,Other,None
777,Skunk Mix,Black/White,A665247,,Other,None
782,Rabbit Sh,Black Brindle,A665254,,Other,None
786,Bat Mix,Brown,A665255,,Other,None
829,Bat Mix,Brown,A665317,,Other,None
913,Bat Mix,Brown,A665432,,Other,None
914,Raccoon Mix,Brown,A665435,,Other,None
947,Bat Mix,Gray,A665483,,Other,None
962,Rabbit Sh Mix,Tan/White,A665548,0.0,Other,Baby
963,Rabbit Sh Mix,Brown,A663372,,Other,Nutmeg
964,Rabbit Sh Mix,White/Tan,A663373,,Other,Snowball
965,Rabbit Sh Mix,Brown,A663374,,Other,Cinnimen
966,Rabbit Sh Mix,Brown,A663375,,Other,Itzie
967,Rabbit Sh Mix,Brown,A663376,,Other,Floppy
992,Raccoon Mix,Black/White,A665573,,Other,None
1006,Opossum Mix,Gray/Black,A665591,,Other,None
1053,Fox Mix,White/Gray,A665648,0.0,Other,None
1083,Raccoon Mix,Black/Brown,A665670,,Other,None
1106,Bat Mix,Brown,A665705,,Other,None
1107,Bat Mix,Brown,A665706,,Other,None
1108,Bat Mix,Brown,A665700,,Other,None
1109,Bat Mix,Brown,A665701,,Other,None
1116,Bat Mix,Brown,A665709,,Other,None
1144,Bat Mix,Brown,A665765,,Other,None
1169,Raccoon Mix,Brown/Black,A665811,,Other,None
1175,Raccoon Mix,Brown/Black,A665816,,Other,None
1185,Opossum,Gray/White,A665844,1.0,Other,None
1186,Bat Mix,Brown,A665846,,Other,None
1188,Bat Mix,Gray,A665851,,Other,None
1203,Pig Mix,White,A665867,1.0,Other,None
1226,Raccoon Mix,Gray/Black,A665902,,Other,None
1228,Raccoon Mix,Gray/Black,A665904,,Other,None
1240,Fox Mix,Red,A665919,,Other,None
1261,Owl,Gray,A665956,,Other,None
1279,Armadillo Mix,Gray,A665976,1.0,Other,None
1288,Californian Mix,White/Black,A665985,0.0,Other,Nina
1289,Californian Mix,White/Black,A665986,1.0,Other,Spaz
1299,Bat Mix,Brown/Brown,A666005,,Other,None
1372,Squirrel Mix,Gray/Brown,A666101,,Other,None
1415,Bat,Brown/Black,A666153,,Other,None
1452,Raccoon Mix,Brown/Black,A666195,,Other,None
1462,Bat,Brown/Black,A666202,,Other,None
1468,Raccoon,Brown/Black,A666216,,Other,None
1477,Pigeon Mix,Gray,A666232,,Other,None
1489,Skunk Mix,Black/White,A666254,0.0,Other,None
1504,Pig Mix,Black/White,A666222,1.0,Other,None
1540,Raccoon Mix,Brown/Black,A666323,,Other,None
