Shelter,Category,Sub-Category,Jun-15,Jun-14,YTD Fiscal 14/15,YTD Fiscal 13/14
Admin,Admin Stats,CPRA Requests,60,69,644,627
Admin,Admin Stats,Hearings Held,34,13,155,105
East Valley Shelter,Animals Sent to Foster,Cats,102,71,678,720
East Valley Shelter,Animals Sent to Foster,Dogs,7,5,94,133
East Valley Shelter,Animals Sent to Foster,Others,9,1,12,4
East Valley Shelter,Animals Sent to Foster,Rabbits,0,0,1,3
Harbor Shelter,Animals Sent to Foster,Cats,13,16,161,155
Harbor Shelter,Animals Sent to Foster,Dogs,0,14,20,60
Harbor Shelter,Animals Sent to Foster,Others,0,0,5,0
Harbor Shelter,Animals Sent to Foster,Rabbits,0,0,3,0
North Central Shelter,Animals Sent to Foster,Cats,32,35,241,343
North Central Shelter,Animals Sent to Foster,Dogs,2,9,69,180
North Central Shelter,Animals Sent to Foster,Others,0,0,2,2
North Central Shelter,Animals Sent to Foster,Rabbits,0,0,0,40
South LA,Animals Sent to Foster,Cats,1,0,32,63
South LA,Animals Sent to Foster,Dogs,1,12,46,105
South LA,Animals Sent to Foster,Others,0,0,1,0
South LA,Animals Sent to Foster,Rabbits,0,0,0,0
West LA,Animals Sent to Foster,Cats,34,38,279,231
West LA,Animals Sent to Foster,Dogs,1,11,30,94
West LA,Animals Sent to Foster,Others,0,0,1,0
West LA,Animals Sent to Foster,Rabbits,0,0,0,0
West Valley,Animals Sent to Foster,Cats,62,40,404,390
West Valley,Animals Sent to Foster,Dogs,4,4,21,62
West Valley,Animals Sent to Foster,Others,0,0,0,0
West Valley,Animals Sent to Foster,Rabbits,0,0,2,8
East Valley Shelter,Cat and Dog Euthanasia,Cats,241,250,1974,1612
East Valley Shelter,Cat and Dog Euthanasia,Dogs,76,65,602,732
Harbor Shelter,Cat and Dog Euthanasia,Cats,77,97,938,841
Harbor Shelter,Cat and Dog Euthanasia,Dogs,37,40,435,434
North Central Shelter,Cat and Dog Euthanasia,Cats,175,192,1429,1875
North Central Shelter,Cat and Dog Euthanasia,Dogs,64,65,623,777
South LA,Cat and Dog Euthanasia,Cats,319,349,2194,2139
South LA,Cat and Dog Euthanasia,Dogs,207,173,1834,2248
West LA,Cat and Dog Euthanasia,Cats,63,73,388,475
West LA,Cat and Dog Euthanasia,Dogs,17,21,131,147
West Valley,Cat and Dog Euthanasia,Cats,119,140,933,1077
West Valley,Cat and Dog Euthanasia,Dogs,28,34,255,326
East Valley Shelter,Cat and Dog Live Releases,Adoptions to the Public,461,398,4233,4323
East Valley Shelter,Cat and Dog Live Releases,Best Friends,153,255,1681,1990
East Valley Shelter,Cat and Dog Live Releases,New Hope Placements,231,186,1910,2407
East Valley Shelter,Cat and Dog Live Releases,Redeemed,146,124,1508,1284
East Valley Shelter,Cat and Dog Live Releases,Released,8,6,113,117
