,Year,Community_ID,Community_Name,Community_County,Community_FIPS_Code,Community_Region,Community_State,Community_Zip,Community_Population,Community_Median_Income,Shelter_ID,Shelter_Name,Org_Count,Shelter_Zip,Shelter_Type,Community_Lead,Begin_Count_D,Intake_Pub_H_D,Intake_Pub_TR_D,Intake_Pub_TM_D,Intake_Pub_UU_D,Intake_Pub_Total_D,Intake_In_Comm_H_D,Intake_In_Comm_TR_D,Intake_In_Comm_TM_D,Intake_In_Comm_UU_D,Intake_In_Comm_Total_D,Intake_Out_Comm_H_D,Intake_Out_Comm_TR_D,Intake_Out_Comm_TM_D,Intake_Out_Comm_UU_D,Intake_Out_Comm_Total_D,Intake_ORE_H_D,Intake_ORE_TR_D,Intake_ORE_TM_D,Intake_ORE_UU_D,Intake_ORE_Total_D,Total_Intake_D,ORE_Intake_UU_D,Total_Intake_Adj_D,Adoption_H_D,Adoption_TR_D,Adoption_TM_D,Adoption_UU_D,Total_Adoptions_D,Transfer_In_Comm_H_D,Transfer_In_Comm_TR_D,Transfer_In_Comm_TM_D,Transfer_In_Comm_UU_D,Transfer_In_Comm_Total_D,Transfer_Out_Comm_H_D,Transfer_Out_Comm_TR_D,Transfer_Out_Comm_TM_D,Transfer_Out_Comm_UU_D,Transfer_Out_Comm_Total_D,RTO_D,Return_Habitat_D,Euth_H_D,Euth_TR_D,Euth_TM_D,Euth_UU_D,Total_Euth_D,ORE_Euth_UU_D,Total_Euth_Adj_D,Sub_Outcomes_D,Died_Lost_D,Total_Outcomes_D,End_Count_D,Begin_Count_C,Intake_Pub_H_C,Intake_Pub_TR_C,Intake_Pub_TM_C,Intake_Pub_UU_C,Intake_Pub_Total_C,Intake_In_Comm_H_C,Intake_In_Comm_TR_C,Intake_In_Comm_TM_C,Intake_In_Comm_UU_C,Intake_In_Comm_Total_C,Intake_Out_Comm_H_C,Intake_Out_Comm_TR_C,Intake_Out_Comm_TM_C,Intake_Out_Comm_UU_C,Intake_Out_Comm_Total_C,Intake_ORE_H_C,Intake_ORE_TR_C,Intake_ORE_TM_C,Intake_ORE_UU_C,Intake_ORE_Total_C,Total_Intake_C,ORE_Intake_UU_C,Total_Intake_Adj_C,Adoption_H_C,Adoption_TR_C,Adoption_TM_C,Adoption_UU_C,Total_Adoptions_C,Transfer_In_Comm_H_C,Transfer_In_Comm_TR_C,Transfer_In_Comm_TM_C,Transfer_In_Comm_UU_C,Transfer_In_Comm_Total_C,Transfer_Out_Comm_H_C,Transfer_Out_Comm_TR_C,Transfer_Out_Comm_TM_C,Transfer_Out_Comm_UU_C,Transfer_Out_Comm_Total_C,RTO_C,Return_Habitat_C,Euth_H_C,Euth_TR_C,Euth_TM_C,Euth_UU_C,Total_Euth_C,ORE_Euth_UU_C,Total_Euth_Adj_C,Sub_Outcomes_C,Died_Lost_C,Total_Outcomes_C,End_Count_C
0,2014,MOBIL,Mobile County,Mobile,1097,South,AL,36608,415123,43642,ARF,Animal Rescue Foundation,1,36605,AG,N,84.0,70.0,184.0,66.0,4.0,324.0,1.0,1.0,1.0,0.0,3.0,25.0,286.0,52.0,1.0,364.0,0.0,0.0,0.0,0.0,0.0,691.0,0.0,691.0,80.0,317.0,61.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,177.0,18.0,2.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,28.0,683.0,0.0,683.0,82.0,19.0,1.0,2.0,1.0,0.0,4.0,0.0,4.0,1.0,0.0,5.0,1.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,6.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,0.0,13.0,19.0
1,2014,MOBIL,Mobile County,Mobile,1097,South,AL,36608,415123,43642,CMAS,City of Mobile Animal Shelter,1,36633,AC,N,106.0,399.0,895.0,289.0,1128.0,2711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,2744.0,33.0,2711.0,600.0,0.0,0.0,0.0,600.0,3.0,149.0,1.0,0.0,153.0,226.0,40.0,0.0,0.0,266.0,256.0,3.0,0.0,144.0,63.0,1114.0,1321.0,33.0,1288.0,2566.0,114.0,2680.0,137.0,98.0,41.0,223.0,15.0,838.0,1117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,1133.0,16.0,1117.0,157.0,0.0,0.0,0.0,157.0,4.0,30.0,2.0,0.0,36.0,6.0,1.0,0.0,0.0,7.0,9.0,4.0,0.0,5.0,4.0,737.0,746.0,16.0,730.0,943.0,229.0,1172.0,44.0
2,2014,MOBIL,Mobile County,Mobile,1097,South,AL,36608,415123,43642,CTYPR,City of Prichard Animal Control,1,36610,AC,N,7.0,232.0,92.0,161.0,224.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,8.0,33.0,70.0,779.0,33.0,746.0,20.0,5.0,3.0,0.0,28.0,11.0,2.0,0.0,0.0,13.0,52.0,8.0,11.0,1.0,72.0,76.0,0.0,86.0,67.0,66.0,299.0,518.0,39.0,479.0,668.0,58.0,726.0,21.0,1.0,30.0,2.0,13.0,55.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,10.0,29.0,48.0,148.0,26.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,3.0,0.0,10.0,10.0,19.0,76.0,115.0,26.0,89.0,101.0,19.0,120.0,3.0
3,2014,MOBIL,Mobile County,Mobile,1097,South,AL,36608,415123,43642,FOMAS,Friends of the Mobile Animal Shelter,1,36604,AG,N,16.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,120.0,0.0,0.0,120.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,4.0,127.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,6.0
4,2014,MOBIL,Mobile County,Mobile,1097,South,AL,36608,415123,43642,MBCAS,Mobile County Animal Shelter,1,36608,AC,N,103.0,2340.0,0.0,0.0,0.0,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,2396.0,56.0,2340.0,839.0,0.0,0.0,0.0,839.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,0.0,0.0,804.0,190.0,0.0,72.0,273.0,14.0,243.0,602.0,56.0,546.0,2379.0,15.0,2394.0,51.0,29.0,531.0,0.0,0.0,0.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,541.0,10.0,531.0,95.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,239.0,4.0,0.0,2.0,24.0,20.0,176.0,222.0,10.0,212.0,550.0,10.0,560.0,0.0
5,2014,MOBIL,Mobile County,Mobile,1097,South,AL,36608,415123,43642,MSPCA,Mobile SPCA,1,36608,AG,Y,45.0,107.0,346.0,11.0,1.0,465.0,0.0,23.0,5.0,0.0,28.0,0.0,194.0,5.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,692.0,0.0,692.0,70.0,414.0,39.0,2.0,525.0,0.0,0.0,0.0,0.0,0.0,69.0,4.0,1.0,0.0,74.0,8.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,38.0,645.0,5.0,650.0,87.0,108.0,89.0,324.0,17.0,12.0,442.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,446.0,0.0,446.0,68.0,289.0,16.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,56.0,429.0,5.0,434.0,120.0
6,2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,AHAZ,Almost Home Boxer Rescue,1,85070,AG,N,13.0,3.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,3.0,5.0,6.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,AAWL,Arizona Animal Welfare League,1,85034,AG,Y,140.0,264.0,678.0,53.0,57.0,1052.0,95.0,350.0,20.0,22.0,487.0,351.0,283.0,13.0,13.0,660.0,0.0,0.0,0.0,0.0,0.0,2199.0,0.0,2199.0,437.0,1452.0,110.0,89.0,2088.0,0.0,3.0,0.0,3.0,6.0,1.0,8.0,0.0,13.0,22.0,25.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,38.0,2179.0,5.0,2184.0,155.0,157.0,475.0,1025.0,6.0,81.0,1587.0,77.0,284.0,0.0,14.0,375.0,181.0,63.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,2206.0,0.0,2206.0,1334.0,616.0,38.0,54.0,2042.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,68.0,2124.0,87.0,2211.0,152.0
8,2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,AHS,Arizona Humane Society,1,85041,TS,N,215.0,6152.0,1825.0,430.0,2812.0,11219.0,132.0,9.0,2.0,6.0,149.0,177.0,8.0,1.0,2.0,188.0,0.0,16.0,6.0,2758.0,2780.0,14336.0,2780.0,11556.0,4750.0,1565.0,159.0,122.0,6596.0,386.0,13.0,8.0,6.0,413.0,37.0,271.0,162.0,180.0,650.0,666.0,0.0,0.0,143.0,309.0,5464.0,5916.0,2780.0,3136.0,11461.0,113.0,11574.0,197.0,235.0,7583.0,3055.0,163.0,5444.0,16245.0,3.0,0.0,0.0,1.0,4.0,30.0,4.0,0.0,2.0,36.0,0.0,32.0,3.0,1092.0,1127.0,17412.0,1127.0,16285.0,4852.0,1098.0,22.0,60.0,6032.0,512.0,121.0,2.0,34.0,669.0,127.0,211.0,39.0,99.0,476.0,282.0,0.0,0.0,2221.0,136.0,6878.0,9235.0,1127.0,8108.0,15567.0,155.0,15722.0,798.0
9,2014,MARIC,Maricopa County,Maricopa,4013,West,AZ,85034,4087191,53896,FAR,Foothills Animal Rescue,1,85255,AG,N,29.0,92.0,0.0,2.0,0.0,94.0,262.0,5.0,1.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,362.0,315.0,16.0,9.0,0.0,340.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,8.0,9.0,0.0,9.0,361.0,1.0,362.0,29.0,40.0,143.0,3.0,21.0,3.0,170.0,36.0,1.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,208.0,179.0,5.0,5.0,0.0,189.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,11.0,0.0,11.0,202.0,2.0,204.0,44.0
