,breed,color,id,male,species,name
0,Border Terrier/Border Collie,White/Tan,A521520,0.0,Dog,Nina
1,Domestic Shorthair Mix,Orange/White,A664235,,Cat,None
2,Domestic Shorthair Mix,Orange/White,A664236,,Cat,None
3,Domestic Shorthair Mix,Orange/White,A664237,,Cat,None
4,Pit Bull Mix,Blue/White,A664233,0.0,Dog,Stevie
5,American Shorthair Mix,Black/White,A664238,,Cat,None
6,Border Collie Mix,Black/White,A664234,1.0,Dog,None
7,Domestic Shorthair Mix,Brown Tabby/White,A664256,1.0,Cat,Donnie
8,Podengo Pequeno Mix,Black,A664257,0.0,Dog,Pippin
9,Chihuahua Shorthair Mix,Buff,A664266,0.0,Dog,None
10,Weimaraner Mix,Silver,A664258,1.0,Dog,Sylvio
11,Anatol Shepherd Mix,White/Tricolor,A648744,0.0,Dog,Claire
12,Domestic Shorthair Mix,Black/White,A664260,0.0,Cat,None
13,Domestic Shorthair Mix,Tortie,A664261,0.0,Cat,None
14,Labrador Retriever/Chinese Sharpei,Tan,A651630,0.0,Dog,Heather
15,Pit Bull Mix,Black,A664259,0.0,Dog,Petunia
16,Great Pyrenees Mix,White,A664269,1.0,Dog,Bismark
17,Domestic Shorthair Mix,Orange Tabby,A664262,1.0,Cat,None
18,Domestic Shorthair Mix,Orange Tabby,A664263,1.0,Cat,None
19,Domestic Shorthair Mix,Brown Tabby,A664264,1.0,Cat,Mason
20,Domestic Shorthair Mix,Brown Tabby,A664265,1.0,Cat,Dixon
21,Pit Bull Mix,White/Black,A664267,0.0,Dog,Asti
22,Russian Blue Mix,Blue,A664268,0.0,Cat,Kochka
23,Domestic Shorthair Mix,Orange Tabby,A664271,0.0,Cat,None
24,Cairn Terrier Mix,Brown,A664272,0.0,Dog,Grace
25,Dachshund/Chihuahua Shorthair,Brown,A664273,0.0,Dog,Buffy
26,German Shepherd Mix,Tan,A639030,0.0,Dog,Cate
27,Black/Tan Hound Mix,Black/Brown,A664253,1.0,Dog,Moose
28,Siberian Husky Mix,Buff,A664274,0.0,Dog,Estrella
29,Chihuahua Shorthair Mix,Red,A658012,1.0,Dog,Lucio
30,Chihuahua Shorthair Mix,Tricolor,A664275,1.0,Dog,Mcdermot
31,Chihuahua Shorthair Mix,White/Brown,A664277,0.0,Dog,Pogo
32,Pit Bull Mix,Brown,A636021,0.0,Dog,Sera
33,Miniature Poodle Mix,Apricot,A664280,0.0,Dog,Coco
34,Yorkshire Terrier/Miniature Poodle,Gray,A660220,0.0,Dog,Jade
35,Norfolk Terrier Mix,Tan,A634503,0.0,Dog,Otter
36,Domestic Shorthair Mix,Brown Tabby,A664281,1.0,Cat,None
37,Domestic Longhair Mix,Brown Tabby,A664282,0.0,Cat,None
38,Domestic Shorthair Mix,Black/White,A664283,0.0,Cat,Juliet
39,Domestic Shorthair Mix,Black/White,A664284,1.0,Cat,None
40,Domestic Shorthair Mix,Black,A664285,1.0,Cat,None
41,Chihuahua Shorthair Mix,White/Brown,A664286,0.0,Dog,Sugar
42,Chihuahua Shorthair Mix,Brown/White,A664287,0.0,Dog,Daisy
43,Domestic Shorthair Mix,Blue/White,A664288,1.0,Cat,None
44,Dachshund/Basset Hound,Brown Brindle,A659642,1.0,Dog,Trevor
45,Domestic Shorthair Mix,Brown Tabby/White,A664289,0.0,Cat,None
46,Domestic Shorthair Mix,Brown Tabby/White,A664292,0.0,Cat,None
47,Domestic Medium Hair Mix,Black/White,A664293,1.0,Cat,Romeo
48,Domestic Medium Hair Mix,Black,A664294,0.0,Cat,Juliet
49,Domestic Medium Hair Mix,Brown Tabby/White,A664295,1.0,Cat,Paris
50,Domestic Medium Hair Mix,Brown Tabby,A664296,1.0,Cat,Mercutio
51,Domestic Medium Hair Mix,Orange Tabby/White,A664297,1.0,Cat,Tybalt
52,Domestic Medium Hair Mix,Orange Tabby,A664298,1.0,Cat,Benvolio
53,Domestic Shorthair Mix,Black/White,A664302,0.0,Cat,None
54,Domestic Shorthair Mix,Brown Tabby,A664303,1.0,Cat,None
55,Domestic Shorthair Mix,Orange Tabby,A664304,1.0,Cat,None
56,Domestic Shorthair Mix,Tortie,A664290,0.0,Cat,Taylor
57,Domestic Shorthair Mix,Black,A664291,1.0,Cat,Tyler
58,Anatol Shepherd/Great Pyrenees,White/Tricolor,A664299,1.0,Dog,Doc
59,Anatol Shepherd/Great Pyrenees,White/Tricolor,A664300,1.0,Dog,Happy
